SiteCode,Year,CAMPAGNE,VOLET,DATE,JOURJULIEN,Site,Lac,LATITUDE,LONGITUDE,Region,TYPE,VENTMAX,VENTMOY,TEMPAIR,HUMREL,PATM,NUAGE,VAGUES,SecchiDepth,MaxDepth,DepthEPILIMNION,ZÉCH,Temp,Conductivity,Doperc,Docorr,DOmgL,pH,Alcalinity,AbundanceBact,ABONDANCE BACT. _ ES (cells/ml),PRODUCTION BACT._MOY       (µg C/L/j),RESPIRATION TOTALE _ MOY (µgC/L/j),RESPIRATION TOTALE _ ES (µgC/L/j),RESPIRATION BACT. _ MOY (µgC/L/j), RESPIRATION BACT. _ ES (µgC/L/j),ZooBiomass,ZBP (mg C m-3 j-1),ZP:B CBA (j-1),ZP:B LOPC (j-1),ChlA, CHL a _ ES (µg/L),TP, TP _ ES (µg/L), TN, TN _ ES (mg/L),NH4,[NH4] _ ES (ug/L),NO3,[NO3] _ ES (ug/L),Iron, DOC, DOC _ ES (mg/L - ppm), DIC, DIC _ ES (mg/L - ppm), LABILITÉ, LABILITÉ _ ES (mgC/L/j),COULEUR-CDOM      ABS. 440nm (m-1),FLUORESCENCE C1 (Ru),FLUORESCENCE C2 (Ru),FLUORESCENCE C3 (Ru),FLUORESCENCE C4 (Ru),FLUORESCENCE C5 (Ru),FLUORESCENCE C6 (Ru),pCO2 AIR AMBIANT DE EGM (ppm),pCO2 EAU (ppm) DE EGM,pCH4 EAU _ MOY (ppm)  DU GC,pCH4 EAU _ ES (ppm)  DU GC,pN2O EAU _ MOY  (ppm)  DU GC Rox,pN2O EAU _  ES (ppm)  DU GC Rox,FLUX CO2 _ MOY (mmol m-2 d-1) EGM ,FLUX CH4 (mmol m-2 d-1) GC,FLUX N2O (mmol m-2 d-1) GC Rox,k600 (m j-1),KCO2 (m j-1),2H2O (Hatch Lab),H2O18 (Hatch Lab),2H2O (Colorado),H2O18 (Colorado),2H2O (UTrent),H2O18 (UTrent),H2O17 (LSCE),O17 (Hatch Lab),O18 (Hatch Lab),DIC13 (Hatch Lab),DIC13 (Colorado),DOC13 (Hatch Lab),DOC13 (Colorado),ppmDIC (Hatch Lab),ppmDIC (Colorado),ppmDOC (Hatch Lab),ppmDOC (Colorado),%C POM (Colorado),%N POM (Colorado),C13 POM (Colorado),N15 POM (Colorado),C/N POM (Colorado),H2 POM (Colorado),%H (Colorado),H2 DOM (Colorado),mgPOC/L/filter (Colorado),pour trier,Commentaires
425691724,2010,1,L,03-06-2010,154,L014,Lac Renaud,48.187,-79.2784,Abitibi,clear water,1.93,1.27,18.63,42.83,974,4,4,1.7,1.7,-,0.5,20.17,304,132.1,136.86,11.96,9.22,,2430964,136448,,,,,,,,,,1.57,0.08,12.63,4.34,0.364,,,,,,4.24,8.815,0.033,9.715,0.082,-0.039,0,1.61,0.358,0.43,0.176,0.07,0.236,0.276,374,34,157.11,7.89,,,-21.19,0.204,,1.589,1.599,,,,,-89.25,-11.46,,,,-9.73,,-27.5,,10.2,,3.5,,,,,,,,,,,15,pCO2 EAU: valeur très faible? 
253008039,2010,1,L,06-06-2010,157,L025,Lac Abitibi,48.66245,-79.46187,Abitibi,clay,5.2,4.6,16.35,43.6,975.35,4,60,0.25,2.3,-,0.5,17.04,101,94.3,98.15,9.11,7.76,,1373861,30855,6.22,139.5,4.5,54,9,,,,,10.24,0.5,55.8,5.85,0.462,0.009,,,,,6.613,11.748,0.036,9.178,0.083,-0.01,0.003,6.44,0.892,1.163,0.454,0.152,0.413,0.449,378,597,17.69,2.28,,,47.03,0.058,,5.546,5.021,,,,,-90.88,-11.88,,,,-8.36,,-27.16,,9.6,,9.8,,,,,,,,,,,26,pCO2 EAU: mesuré par headspace et non par poumon
425716229,2010,1,L,07-06-2010,158,L029,Lac Duparquet,48.48519,-79.26385,Abitibi,clay,5.43,4.53,12.13,70.83,982.1,3,35,0.8,6.4,-,0.5,16.39,84,102.9,105.69,10.07,7.66,,3612668,22362,,81,9,27,0,,,,,6.61,0.41,26.91,0.43,0.417,0.004,,,,,14.501,10.892,0.056,7.769,0.047,-0.029,0.001,2.65,0.426,0.875,0.306,0.196,0.505,0.278,393,690,19.31,0.08,,,103.24,0.034,,9.004,7.968,,,,,-94.38,-12.55,,,,-9.55,,-28.43,,8.06,,9.53,,,,,,,,,,,30,
425731149,2010,1,L,07-06-2010,158,L030,Lac Hébécourt,48.5046,-79.3897,Abitibi,clay,6.6,4.8,13.17,57.27,981.77,7,23,0.9,3,-,0.5,17.71,91,93.5,95.92,8.9,7.66,,2798476,21,,76.5,4.5,49.5,13.5,,,,,5.52,1.39,31.66,0.62,0.397,0.002,,,,,0.615,10.818,0.008,8.69,0.022,-0.028,0.002,2.53,0.526,0.675,0.269,0.124,0.294,0.311,388,766,81.23,6.27,,,101.58,1.392,,6.921,6.412,,,-87.61,-11.42,-86.34,-10.83,,,,-8.64,,-28.32,,9.18,,9.63,,,,,,,,,,,31,
253038625,2010,1,L,08-06-2010,159,L031,Lac du Camping Hanté,48.82679,-79.17287,Abitibi,"kettle, ensemencéil y a 10 ans",2.2,1,15.85,52.25,985.3,0,0,3.8,7.3,3.5,0.5,16.38,116,114.6,116.02,11.09,8.89,,2584018,132531,,90,0,54,0,,,,,2.63,0.41,8.11,0.37,0.252,0.002,,,,,0,6.619,0.028,13.53,0.018,,,0.12,0.01,0.094,0.039,0.015,0.074,0.122,381,89,149.5,,,,34.96,3.393,,-3.102,-2.743,,,-76.65,-8.51,,,,,,-2.67,,-25.75,,14.03,,3.36,,60.54,8.42,-25.51,3.38,7.19,-82.9,0.1,,0.229,32,
253038658,2010,1,L,08-06-2010,159,L032,Lac des Frères,48.93595,-79.1804,Abitibi,kettle,1.95,1.15,19.8,193.95,982.7,4,0,3.6,10.8,4,0.5,16.93,9,105.5,108.11,10.21,5.11,,2324105,16235,,45,0,27,0,,,,,1.65,0.17,8.29,0.31,0.104,0.001,,,,,,5.185,0.015,1.304,0.051,,,0.23,0.016,0.117,0.062,0.017,0.055,0.057,374,662,1142.04,,,,31.02,0.484,,2.783,2.51,,,-75.44,-8.55,,,,,,-15.57,,-29.9,,0.68,,1.72,,91.76,9.76,-35.12,1.69,9.4,-132.1,0.1,,0.193,33,
425700968,2010,1,L,09-06-2010,160,L033,Lac Matissard,48.43141,-78.68851,Abitibi,clay,4.25,2.9,16.3,57,980.05,3,8,1.2,2.7,-,0.5,17.22,50,95.4,98.33,9.18,7.24,,857920,9866,23.61,99,9,49.5,4.5,,,,,4.3,0.17,27.22,,0.333,0.003,,,,,6.376,9.437,0.008,4.984,0.043,,,2.88,0.559,0.705,0.232,0.188,0.231,0.213,387,731,118.36,,,,30.93,0.41,,2.321,2.114,,,,,-98.43,-12.94,,,,-9.89,,-28.29,,5,,9.87,,,,,,,,,,,34,
425700898,2010,1,L,09-06-2010,160,L034,Lac Frontière,48.48579,-78.64825,Abitibi,kettle,6.5,3.05,20.45,35.65,969.75,7,3,2,2,-,0.5,15.09,107,106.4,109.56,10.7,7.04,,2136269,14366,18.87,103.5,22.5,27,9,,,,,1.65,0.17,7.18,0.31,0.128,0.01,,,,,0,5.244,0.027,11.767,0.02,,,0.46,0.005,0.085,0.032,0.013,0.056,0.068,386,602,1589.53,79.48,,,29.73,9.492,,3.587,3.029,,,,,-96.5,-13.3,,,,-11.37,,-27.92,,11.7,,8.79,,,,,,,,,,,35,Z Secchi plus profond que Z max
425716229,2010,2,L,15-07-2010,196,L040,Lac Duparquet,48.48519,-79.26385,Abitibi,clay,5.8,4.9,21.85,75.1,979.25,8,65,1.25,5.9,5,0.5,23.31,88,96.6,99.42,8.24,7.79,,5019265,198786,72.93,63,6.36,67.5,9.55,,,,,3.81,0.08,21.24,0.62,0.326,0.001,,,,,4.124,10.93,0.066,,,-0.018,,2.76,0.666,0.751,0.282,0.155,0.273,0.243,401,582,24.98,3.58,,,39.45,0.044,,5.489,6.112,,,-91.28,-12.44,,,,,,,-8.89,,-26.9,,7.4,,9.25,84.08,14.09,-30.63,1.7,5.97,-137.5,2.8,,0.116,43,Labilité: valeurs non corrigées
425731149,2010,2,L,15-07-2010,196,L041,Lac Hébécourt,48.51212,-79.3774,Abitibi,clay,5.17,3.5,21.37,87.4,976.03,8,23,1.1,2.8,-,0.5,23.75,92,112.2,116.59,9.5,8.95,,4576996,164627,71.19,247.5,3.18,189,6.36,,,,,8.93,0.26,26.01,0.56,0.571,0.008,,,,,0,10.797,0.092,,,-0.043,0,2.19,0.505,0.593,0.256,0.084,0.277,0.278,380,48,186.45,,,,-65.86,1.023,,4.986,5.631,,,-82.46,-10.58,,,,,,,-6.65,,-26.94,,8.04,,9.77,459.49,81.16,-29.5,0.83,5.66,-209.2,1.6,,0.694,44,Labilité: valeurs non corrigées
425700968,2010,2,L,19-07-2010,200,L042,Lac Matissard,48.43141,-78.68851,Abitibi,clay,2.9,2,21.6,53.7,977.85,1,10,,2.4,-,0.5,22.44,51,83,85.67,7.19,7.24,,5041444,35264,,81,6.36,49.5,9.55,,,,,4.16,0.1,28.24,0.56,0.328,0,,,,,39.844,8.036,0.062,,,-0.015,0.004,2.76,0.494,0.624,0.234,0.135,0.25,0.234,370,1196,152.17,2.5,,,130.55,1.116,,3.995,4.326,-89.73,-11.63,,,,,,11.84,22.7,,-8.07,,-27.63,,4.04,,7.72,150.65,23.34,-32.33,3.47,6.45,-159.5,0.2,,0.199,45,
425708659,2010,2,L,19-07-2010,200,L043,Lac de l'Esker,48.50917,-78.67194,Abitibi,humique,3.77,2.6,23.4,40.4,967.13,0,8,1.6,1.6,-,0.5,21.63,73,100.9,105.41,8.89,7.82,,2969835,40210,25.95,99,0,45,0,,,,,2.64,0.16,7.86,0.99,0.314,0,,,,,0,6.169,0.047,,,-0.022,0.003,0.81,0.075,0.152,0.058,0.025,0.077,0.168,372,491,786.26,53.06,,,18.29,6.933,,3.897,4.112,-89.15,-11.06,,,,,,10.16,19.46,,,,,,,,,,,,,,,,,,46,
425708669,2010,2,L,19-07-2010,200,L044,Lac Sault,48.51278,-78.68111,Abitibi,faille,1.05,0.45,23.2,34.9,968.95,0,0,4,,-,0.5,22.7,53,102.8,101.69,8.39,7.75,,1664863,26456,9.55,76.5,3.18,18,0,,,,,1.63,0.1,6.87,0.74,0.192,0.002,,,,,0,5.369,0.071,,,0.002,,1.73,0.164,0.247,0.075,0.074,0.1,0.11,376,441,184.52,26.91,,,9.54,0.313,,3.723,4.066,-82.64,-12.02,,,,,,12.62,24.6,,,,,,,,,,,,,,,,,,47,Site échantillonné de la rive et non en bateau
425716236,2010,2,L,21-07-2010,202,L049,Lac Voisin,48.49,-79.34333,Abitibi,humique,1.1,0.7,19.9,76.7,977.3,8,0,1.5,3.4,2,0.5,23.38,51,93.4,95.6,7.96,7.42,,2383720,67962,14.33,12.5,9.55,45,6.36,,,,,5.62,0.33,25.83,0.37,0.476,0.003,,,,,35.716,16.96,0.377,0.926,0.061,-0.011,,4.95,1.135,1.254,0.463,0.225,0.423,0.355,393,862,63.13,10.38,,,7.2,3.813,,0.387,0.432,-73.65,-10.1,-83.84,-11.06,,,,11.5,22.23,,-7.92,,-27.21,,4.36,,13.78,196.5,30.77,-33.55,3.37,6.39,-145.1,3.7,,0.254,52,
345485492,2010,2,L,21-07-2010,202,L050,Lac Macamic,48.80028,-78.96917,Abitibi,clay,3.1,2.9,18.95,88.5,975.9,8,30,0.1,1.7,-,0.5,21.03,85,90,93.06,8.01,7.65,,3141469,113383,2.66,58.5,15.91,40.5,3.18,,,,,5.51,,153.16,3.28,0.546,0.008,,,,,15.288,16.761,0.265,1.242,0.094,-0.029,0.001,20.04,3.915,4.212,1.799,0,2.677,9.114,373,816,9.66,0.17,,,58.72,0.033,,3.369,3.486,-84.4,-10.49,,,,,,12.82,24.72,,,,,,,,,,,,,,,,,,53,Labilité: valeurs non corrigées
425708681,2010,2,L,21-07-2010,202,L051,Lac Chavigny,48.62917,-78.75639,Abitibi,clay,4,3.3,19.55,76.5,973.1,8,15,0.5,3.9,1.5,0.5,22.53,66,98.2,101.83,8.49,7.87,,4408687,45956,8.95,112.5,3.18,81,0,,,,,11.56,0.25,45.03,0.74,0.512,0.008,,,,,0,18.09,0.156,1.122,0.118,-0.009,0,7.83,1.851,2.023,0.902,0.025,0.697,0.983,396,417,61.69,,,,24.66,0.448,,29.674,32.227,-81.3,-10.93,,,,,,11.14,21.59,,,,,,,,,,,,,,,,,,54,
253008039,2010,2,L,21-07-2010,202,L052,Lac Abitibi,48.66222,-79.345,Abitibi,clay,3.1,2.9,19.9,79.7,978.2,5,25,0.2,1.9,-,0.5,21.68,103,86.4,89.21,7.6,7.6,,9399545,240534,14.42,139.5,3.18,85.5,9.55,,,,,3.53,1.46,85.06,10.91,0.597,0.011,,,,,75.559,17.269,0.507,1.367,0.053,,,7.37,1.11,1.427,0.687,0,0.779,1.116,373,790,25.3,1.19,,,33.13,0.199,,2.015,2.129,-75.15,-10.67,,,,,0,11.67,22.32,,,,,,,,,,,,,,,,,,55,
425691703,2010,2,L,23-07-2010,204,L056,Lac Tranquille,48.11361,-79.04917,Abitibi,humique,0.6,0.9,21.5,63.2,971.8,7,2,1.2,3.3,2,0.5,22.79,13,94.2,97.81,8.11,5.33,,3379796,56242,12.36,49.5,3.18,67.5,3.18,,,,,4.3,0,18.27,0.5,0.333,0.01,,,,,67.044,11.454,0.061,0.489,0.041,-0.018,,8.64,0.88,1.662,0.779,0.064,0.364,0.276,306,860,265.06,,,,19.64,0.032,,0.895,0.98,-57.64,-9.17,,,,,,11.89,23.35,-10.35,,-27.39,,1.8,,8.5,,,,,,,,,,,59,
425691722,2010,2,L,23-07-2010,204,L057,Lac Akif,48.06889,-79.23722,Abitibi,clay,0.7,0.5,22.5,64.9,974.1,6,2,0.9,2.5,2,0.5,23.07,33,101.1,104.81,8.66,7.2,,2071901,28593,37.15,180,0,76.5,15.91,,,,,14.66,1.03,17.89,0.37,0.715,0.001,,,,,0,16.709,2.002,0.841,,-0.001,,1.96,0.642,0.736,0.293,0.125,0.363,0.505,371,272,733.75,,,,-7.8,1.923,,1.986,2.195,-60,-8.22,,,,,,10.5,20.38,,,,,,,,,,,,,,,,,,60,
425716230,2010,2,L,23-07-2010,204,L058,Lac Dasserat,48.27528,-79.42611,Abitibi,eau claire,1.1,0.5,23.1,65.95,975.75,6,3,3,11.7,5,0.5,22.39,78,98.3,101.72,8.53,7.72,,2156667,24953,5.47,36,6.36,45,0,,,,,2.1,0.49,9.22,0.99,0.251,0.027,,,,,0,8.054,0.01,4.979,0.044,-0.014,,1.61,0.333,0.425,0.165,0.079,0.219,0.171,379,415,40.8,5.33,,,0,0.806,,0,0,-72.72,-10.7,,,,,,11.77,22.79,-4.84,,-26.96,,3.6,,5.5,,,,,,,,,,,61,
425644120,2010,2,L,23-07-2010,204,L059,Lac Clarice,48.34,-79.53944,Abitibi,eau claire,0.55,0.35,22.7,71.15,972.2,7,4,4,11.8,-,0.5,22.29,47,98.7,102.52,8.58,7.73,,2086140,38867,4.63,,,45,0,,,,,1.76,,7.11,0.25,0.201,0.004,,,,,0,7.812,,1.297,,-0.007,0.004,0.69,0.127,0.213,0.088,0.029,0.124,0.119,379,486,119.47,,,,0,0.79,,0,0,-62.35,-9.49,,,,,,12.06,23.27,-2.92,,-26.74,,3.8,,4.8,,,,,,,,,,,62,
425691719.1,2010,2,L,27-07-2010,208,L064,Lac Fortune,48.19083,-79.30194,Abitibi,eau claire,2.7,1.85,25.05,56.5,979.35,2,10,5,11.6,5,0.5,22.95,146,102.4,105.5,8.79,8.27,,3186884,2215,15.39,81,6.36,54,0,,,,,0.49,0.03,8.23,0,0.247,0.007,,,,,143.22,11.903,0.054,1.198,0.059,-0.015,0.001,1.27,0.044,0.117,0.054,0,0.085,0.096,372,240,279.56,9.25,,,-23.14,1.088,,4.423,4.868,-55.12,-7.82,,,,,,10.79,22,-3.43,,-26.27,,7.13,,4.44,,90.45,12.75,-28.69,1.29,7.09,-123.2,2.2,,0.119,67,
425691719.2,2010,2,L,27-07-2010,208,L065,Lac King of the North,48.19861,-79.30111,Abitibi,eau claire,5.15,4,26.15,51,978.65,3,13,2.5,6,4,0.5,23.24,934,99.2,102.45,8.45,8.06,,2867491,24405,10.74,85.5,9.55,54,0,,,,,0.25,,8.41,0.06,0.238,0.004,,,,,0,19.458,0.287,1.865,0.12,-0.009,0.001,1.84,0.225,0.281,0.123,0.034,0.188,0.155,360,645,128.78,7.48,,,40.63,0.588,,3.591,3.99,-74.9,-10.44,,,,,,9.9,19.69,,,,,,,,,,,,,,,,,,68,
425691724,2010,2,L,27-07-2010,208,L066,Lac Renaud,48.1865,-79.27892,Abitibi,eau claire,6.6,3.45,28.3,42.75,977.3,2,23,2,2,-,0.5,24.06,285,114.3,117.94,9.6,8.87,,4725207,128250,39.61,144,6.36,94.5,3.18,,,,,2.16,0.13,15.29,0,0.418,0.008,,,,,0.832,14.467,0.2,0.947,0.124,-0.021,0.005,1.38,0.297,0.393,0.197,0.028,0.268,0.252,356,57,435.66,11.45,,,-52.54,3.263,,4.41,5.029,-78.27,-9.09,,,,,,8.9,17.32,,,,,,,,,,,,,,,,,,69,Z Secchi plus profond que Z max
253038669,2010,2,L,28-07-2010,209,L067,Lac Mances,48.79852,-79.27657,Abitibi,clay,5.65,2.8,21.75,80.8,966.6,6,18,0.3,0.9,-,0.5,21.9,67,91.7,96.05,8.04,7.73,,4439297,45917,20.66,157.5,9.55,54,0,,,,,36.05,4.3,67.34,0.74,0.91,0.032,,,,,6.929,18.158,0.025,0.875,0.074,-0.044,0.001,3.22,0.975,1.044,0.414,0.076,0.375,0.499,375,680,67.26,5.19,,,42.33,0.33,,3.515,3.742,-61.03,-7.79,,,,,,12.15,23.5,-6.16,,-27.86,,4.9,,11.9,,,,,,,,,,,70,
253038658,2010,2,L,28-07-2010,209,L068,Lac des Frères,48.93593,-79.17992,Abitibi,kettle,4.25,2.1,24.9,57.25,961.85,6,2,4.7,9.2,4,0.5,22.63,8,89.4,93.77,7.71,5.05,,2026540,59187,4.79,63,6.36,31.5,3.18,,,,,1.9,0.25,7.11,0.25,0.112,0.006,,,,,14.041,5.407,0.047,0.44,0.027,-0.018,,1.04,0.019,0.087,0.042,0.016,0.036,0.037,373,1040,559.72,32.86,,,5.8,0.378,,0.22,0.239,-59.54,-7.8,-72.62,-8.33,,,0,11.06,21.57,-12,,-30.01,,0.3,,2,,148.72,15,-33.99,1.41,9.91,-152.5,2,,0.204,71,
253038679,2010,2,L,28-07-2010,209,L069,Lac du Castor,48.94156,-79.18497,Abitibi,kettle,8.5,5.1,24.1,47.1,962.5,7,17,3,3,-,0.5,22.56,13,92.9,97.41,8.03,6.21,,2505544,64324,8.81,108,12.73,18,0,,,,,2.49,0.26,11.2,0.62,0.197,0.001,,,,,2.987,6.504,0.019,0.434,0.037,-0.028,0.001,0.58,0.022,0.089,0.044,0.012,0.058,0.082,368,780,377.98,7.83,,,46.99,0.29,,2.882,3.133,-62.16,-7.09,,,,,,11.61,22.72,-11.51,,-26.69,,0.4,,3.5,,,,,,,,,,,72,Z Secchi plus profond que Z max
